mlp_ratio,sum_mlp_ratio,num_heads,one_layer_heads,sum_num_heads,embed_dim,sum_embed,one_layer_embed,layer_num,dss score,retrain accuracy50,resultfilename,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 32 32 32 16 32,144, 6 3 6 4 3,6,22, 64 64 64 64 64,320,64,5,108.6830826,39.29,11477233,76.69,11496339,-0.137366384,20.87831688,12:52
 16 8 16 8 8 16 8,80, 6 6 4 3 6 4 3,6,32, 64 64 64 64 64 64 64,448,64,7,108.0242615,45.66,11477482,79.49,11496588,-0.480742157,32.50778961,15:32
 16 8 8 16,48, 6 6 4 6,6,22, 64 64 64 64,256,64,4,107.9531479,40.62,11477237,74.21,11496343,-0.034442224,11.55498219,13:08
 8 16 32 32 16 16 16,136, 6 6 3 3 6 3 6,6,33, 64 64 64 64 64 64 64,448,64,7,107.6780548,47.49,11477100,77.94,11496206,-1.059270144,58.64990234,12:49
 8 16 16 16 8,64, 6 6 4 3 3,6,22, 64 64 64 64 64,320,64,5,107.0127182,40.95,11477301,74.49,11496407,-0.062169768,13.66840172,14:16
 32 32 8 8 16 16,112, 6 3 6 4 6 4,6,29, 64 64 64 64 64 64,384,64,6,106.5973282,43.41,11477492,77.97,11496598,-0.086965367,18.57289314,16:57
 8 16 8 8 8 8,56, 6 6 4 3 6 4,6,29, 64 64 64 64 64 64,384,64,6,106.4417419,43.04,11477450,74.66,11496556,-0.061374448,13.66400242,16:48
 8 8 8 16,40, 6 6 6 3,6,21, 64 64 64 64,256,64,4,106.3985748,39.94,11477362,73.39,11496468,-0.024472393,10.78087044,13:53
 32 32 8 32,104, 6 3 6 3,6,18, 64 64 64 64,256,64,4,106.2642288,40.12,11477404,70.84,11496510,-0.108645357,16.64096069,11:37
 8 16 16 16 16 8 8,88, 6 6 3 3 4 6 6,6,34, 64 64 64 64 64 64 64,448,64,7,105.8815002,43.57,11477525,79.73,11496631,-0.90563637,42.36667252,16:17
